Position,Player,NFL Team,IFFL Owner,IFFL Team,Price,KMD
RB,Emmit Johnson,KC,Ryan,RYAN,$1,K
RB,Kaytron Allen,WAS,Ryan,RYAN,$1,K
WR,Puka Nacua,LAR,Wayne,GOP,$32,K
RB,Jonathan Taylor,IND,Wayne,GOP,$65,D
QB,Joe Burrow,CIN,Wayne,GOP,$63,D
QB,Jalen Hurts,PHI,Wayne,GOP,$59,M
TE,Trey McBride,ARI,Wayne,GOP,$32,K
WR,Courtland Sutton,DEN,Wayne,GOP,$35,D
TE,Terrance Ferguson,LAR,Wayne,GOP,$7,K
QB,Kyler Murray,MIN,Wayne,GOP,$38,D
RB,David Montgomery,HOU,Wayne,GOP,$16,D
QB,Aaron Rodgers,PIT,Wayne,GOP,$8,M
TE,Dalton Schultz,HOU,Wayne,GOP,$7,M
RB,Ollie Gordon,,Wayne,GOP,$15,D
WR,Cooper Kupp,SEA,Wayne,GOP,$10,D
TE,Darren Waller,,Wayne,GOP,$7,D
TE,Colby Parkinson,LAR,Wayne,GOP,$7,D
WR,Tyreek Hill,MIA,Wayne,GOP,$7,D
WR,Jaylin Noel,HOU,Wayne,GOP,$7,D
WR,Adonai Mitchell,NYJ,Wayne,GOP,$7,D
WR,Darnell Mooney,,Wayne,GOP,$7,D
RB,Rachaad White,WAS,Wayne,GOP,$6,D
TE,Mason Taylor,NYJ,Wayne,GOP,$6,D
RB,DJ Giddens,,Wayne,GOP,$5,D

Owner,Players Kept,Keeper Total,Auction $ Left
M. Zurek,6,$164,$36
Bill,5,$127,$73
Abad,3,$101,$99
Faybik,7,$90,$110
Foley,11,$87,$113
Ryan,9,$84,$116
Wayne,3,$71,$129
Jason,4,$67,$133
Dugan,8,$63,$137
Jared,6,$62,$138
A. Zurek,8,$58,$142
Cantone,8,$28,$172
TOTAL,78,$1002,$1398
